ref,order,menuKey,name,inci,descriptionFragment,notes,catalogStatus,category,origin,sap,sap_koh,iodine,ins,flags.citricAcid,waterPercent,botanical.botanicalName,botanical.plantPart,botanical.physicalForm,botanical.notes,properties.conditioning,properties.cleansing,properties.bubbles,properties.persistence,properties.hardness,properties.solubility,properties.drying,fattyAcids.lauric,fattyAcids.myristic,fattyAcids.palmitic,fattyAcids.stearic,fattyAcids.oleic,fattyAcids.linoleic,fattyAcids.linolenic,fattyAcids.ricinoleic,fattyAcids.gadoleic,fattyAcids.other
1,1,baseOils,Azeite (Oliva),Sodium Olivate,Azeite extra virgem para sabonetes de alta qualidade,,cataloged,Óleos Base,system,0.137,0.192,81.7,110.3,,0,,,,,83.7,0,0,16.3,16.3,45,10,0,0,13.5,2.6,74.8,7,0.5,0,0.42,1.12
2,2,baseOils,Óleo de Coco,Sodium Cocoate,Óleo de coco virgem prensado a frio,,cataloged,Óleos Base,system,0.177,0.248,8.9,239.1,,0,,,,,11.4,75,75,13.6,88.6,80,70,47.9,16,9.5,2,6.5,1.7,0,0,0,16.3
3,3,baseOils,Óleo de Girassol,Sodium Sunflowerate,Óleo de girassol refinado,,cataloged,Óleos Base,system,0.136,0.191,139.2,51.8,,0,,,,,89.9,0,0,10.1,10.1,45,10,0,0,5.5,2.7,25,64,0.3,0,0,2.1
4,4,baseOils,Banha de porco,Sodium Lardate,Banha de porco refinada de alta qualidade,,cataloged,Óleos Base,system,0.14,0.196,59.5,136.5,,0,,,,,57.7,1,1,41.2,42.3,40,45,0,2,27,11.1,45,9,1,0,0,4.3
5,5,baseOils,Sebo de vaca,Sodium Tallowate,Sebo bovino purificado e refinado,,cataloged,Óleos Base,system,0.141,0.198,40.8,157.2,,0,,,,,48.4,3.2,3.2,48.4,51.6,35,50,2,5.3,27.7,17.2,42.3,1.1,0.2,0,0.2,3.95
6,1,superfatOils,Óleo de Amêndoas Doces,Prunus Amygdalus Dulcis Oil,Óleo de amêndoas doces prensado a frio,,cataloged,Superfat,system,0.137,0.192,97,-96.8,,0,,,,,90.8,0,0,9.2,9.2,45,15,0,0,7.1,2,70.4,20.4,0,0,0,0
7,2,superfatOils,Óleo de Sésamo (Gergelim),Sesamum Indicum Seed Oil,Óleo de gergelim prensado a frio,,cataloged,Superfat,system,0.133,0.187,110,-109.8,,0,,,,,87,0,0,13,13,45,20,0,0,9,4,41,45,1,0,0,0
8,3,superfatOils,Óleo de Rícino,Ricinus Communis Seed Oil,Óleo de rícino prensado a frio,,cataloged,Superfat,system,0.128,0.180,86,-85.8,,0,,,,,98,0,90.5,92.5,2,90,0,0,0,1,1,3,4,0.5,90.5,0,0
9,4,superfatOils,Óleo de Rosa Mosqueta,Rosa Canina Fruit Oil,Óleo de rosa mosqueta prensado a frio,,cataloged,Superfat,system,0.132,0.185,179,-178.8,,0,,,,,93.9,0,0,6.1,6.1,40,10,0,0,4,2,14.1,44.4,35.4,0,0,0
10,5,superfatOils,Óleo de Abacate,Persea Gratissima Oil,Óleo de abacate prensado a frio,,cataloged,Superfat,system,0.133,0.187,86,-85.8,,0,,,,,83,0,0,17,17,40,10,0,0,15,2,70,12,1,0,0,0
11,6,superfatOils,Óleo de Girassol Virgem,Helianthus Annuus Seed Oil,Óleo de girassol virgem prensado a frio,,cataloged,Superfat,system,0.135,0.189,125,-124.8,,0,,,,,89.9,0,0,10.1,10.1,45,10,0,0,6.1,4,24.2,65.7,0,0,0,0
12,1,lyeLiquids,Água,Aqua,Água destilada para diluição da lixívia,,cataloged,Líquidos Lixívia,system,0,0,0,0,0,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,lyeLiquids,Álcool,Alcohol,Álcool etílico 96% para diluição,,cataloged,Líquidos Lixívia,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,functionalAdditives,Infusão de Camomila,Chamomilla Infusion,Infusão de camomila para propriedades calmantes,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,functionalAdditives,Infusão de Malvas,Mallow Infusion,Infusão de malvas para propriedades emolientes,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,functionalAdditives,Infusão de Hibisco,Hibiscus Infusion,Infusão de hibisco para propriedades antioxidantes,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,functionalAdditives,Infusão de Cavalinha,Equisetum Infusion,Infusão de cavalinha para propriedades anti-inflamatórias,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,functionalAdditives,Infusão de Tília,Linden Infusion,Infusão de tília para propriedades calmantes,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7,functionalAdditives,Infusão de Cidreira,Apple Blossom Infusion,Infusão de cidreira para propriedades tonificantes,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,8,functionalAdditives,Infusão de Carqueja,Oak Infusion,Infusão de carqueja para propriedades adstringentes,,cataloged,Aditivos Funcionais,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,lyeAdditives,Mel cru,Honey,Mel cru não pasteurizado para adocar lixívia,,cataloged,Aditivos Lixívia,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,lyeAdditives,Açúcar branco,Sugar,Açúcar branco refinado para aumentar traço,,cataloged,Aditivos Lixívia,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,lyeAdditives,Sal rosa dos Himalaias,Himalayan Pink Salt,Sal rosa dos Himalaias para dureza e traço,,cataloged,Aditivos Lixívia,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,lyeAdditives,Sal grosso não iodado,Non-iodized Coarse Salt,Sal grosso não iodado para dureza e traço,,cataloged,Aditivos Lixívia,system,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,lyeAdditives,Ácido cítrico (Citrato de sódio após saponificação),Citric Acid,Ácido cítrico para ajuste de pH e citrato de sódio,,cataloged,Aditivos Lixívia,system,0,0,0,0,TRUE,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
